"1050","8747370","3297187"
"3195","22024394","3297188"
"18613","128762762","3297189"
"1220","12349546","3297190"
"1370","8979218","3297191"
"2163","14168865","3297192"
"2308","18732780","3297193"
"1824","11968584","3297194"
"4519","66415816","3297195"
"2749","38450158","3297196"
"8608","59650190","3297197"
"6308","41778175","3297198"
"3633","53504580","3297199"
"6114","49895984","3297200"
"32844","297309202","3297201"
"1243","9260617","3297202"
"2373","18954656","3297203"
"140488","1344962462","3297204"
"363","2278739","3297205"
"13955","154608892","3297206"
"382","2734885","3297207"
"2015","14198131","3297208"
"611","4171468","3297209"
"1195","6852867","3297210"
"335","2195247","3297211"
"825","5693999","3297212"
"608","4100981","3297213"
"343","2967909","3297214"
"493","3078403","3297215"
"7484","55280050","3297216"
"2492","20912551","3297217"
"443","4098736","3297218"
"316","2650041","3297219"
"963","5169349","3297220"
"10659","129534812","3297221"
"707","5623192","3297222"
"149","849636","3297223"
"7156","56932160","3297224"
"501","3346074","3297225"
"9216","96915039","3297226"
"6898","87232709","3297227"
"510","3545938","3297228"
"2021","13951192","3297229"
"4621","34638389","3297230"
"4079","28264696","3297231"
"1334","10446950","3297232"
"278","1904481","3297233"
"10613","115416149","3297234"
"1390","10018424","3297235"
"3540","34878052","3297236"
"833","5184902","3297237"
"2380","20685312","3297238"
"1286","10202337","3297239"
"701","5725511","3297240"
"326","2347742","3297241"
"916","5610010","3297242"
"433","3171548","3297243"
"10162","102838416","3297244"
"595","4045643","3297245"
"1204","11036723","3297246"
"450","3214230","3297247"
"7875","80755484","3297248"
"615","4517333","3297249"
"6909","50308742","3297250"
"8898","68409666","3297251"
"15848","148057821","3297252"
"19378","199753455","3297253"
"1220","12349546","3297254"
"45665","521670614","3297255"
"2529","18795084","3297256"
"5103","34944892","3297257"
"5809","38891924","3297258"
"12495","89845103","3297259"
"1220","12349546","3297260"
"9505","69231242","3297261"
"2422","16760052","3297262"
"825","5693999","3297263"
"1065","7731563","3297264"
"595","4045643","3297265"
"45665","521670614","3297266"
"11589","111887746","3297267"
"8140","63550605","3297268"
"5955","43169365","3297269"
"1204","11036723","3297270"
"5042","33434045","3297271"
"707","5623192","3297272"
"19378","199753455","3297273"
"2714","22534901","3297274"
"66843","497924907","3297275"
"1448","9202561","3297276"
"3532","27599280","3297277"
"239","1705877","3297278"
"369","1885821","3297279"
"193","922829","3297280"
"394","2559491","3297281"
"136","742177","3297282"
"223","1480120","3297283"
"297","2106174","3297284"
"2086","17427997","3297285"
"4073","28216089","3297286"
"702","4489239","3297287"
"99","776217","3297288"
"201","1119515","3297289"
"101","489797","3297290"
"245","1394224","3297291"
"7097","53197226","3297292"
"415","2701924","3297293"
"4295","27885018","3297294"
"159","856048","3297295"
"795","6222214","3297296"
"5287","45117666","3297297"
"3337","26109718","3297298"
"656","4862162","3297299"
"825","4872935","3297300"
"467","2858462","3297301"
"395","2449278","3297302"
"1442","10676211","3297303"
"305","2081463","3297304"
"4268","33831251","3297305"
"534","4402052","3297306"
"1554","13930979","3297307"
"1397","12085392","3297308"
"645","5348390","3297309"
"839","6274826","3297310"
"551","3859825","3297311"
"89","456929","3297312"
"567","3343574","3297313"
"5122","35947440","3297314"
"325","2088583","3297315"
"2496","19489243","3297316"
"29","172824","3297317"
"501","3365961","3297318"
"616","4429726","3297319"
"348","1868884","3297320"
"4182","36570630","3297321"
"205","1352607","3297322"
"62","299873","3297323"
"4434","30503064","3297324"
"1438","8615735","3297325"
"68","398643","3297326"
"8856","83325765","3297327"
"8459","62057158","3297328"
"2758","19233486","3297329"
"12753","105081251","3297330"
"2436","15807236","3297331"
"1615","10664978","3297332"
"5715","37863470","3297333"
"3641","25496593","3297334"
"268","1878701","3297335"
"4540","31074551","3297336"
"25659","230836595","3297337"
"223","1480120","3297338"
"553","3221491","3297339"
"501","3365961","3297340"
"616","4429726","3297341"
"7021","59332233","3297342"
"25659","230836595","3297343"
"984","5728983","3297344"
"901","6256386","3297345"
"3359","48903638","3297346"
"2620","21830049","3297347"
"8459","62057158","3297348"
"23779","147602822","3297349"
"415","2701924","3297350"
"921","6747846","3297351"
"834","6625217","3297352"
"203","1071482","3297353"
"113","563926","3297354"
"203","950981","3297355"
"424","2134317","3297356"
"264","1475100","3297357"
"60","297158","3297358"
"98","542655","3297359"
"123","330539","3297360"
"513","3365196","3297361"
"2314","11242165","3297362"
"44","173072","3297363"
"84","423279","3297364"
"88","361734","3297365"
"747","4415638","3297366"
"81","388875","3297367"
"2089","10920113","3297368"
"141","692371","3297369"
"1975","13613264","3297370"
"1005","8421941","3297371"
"308","1852485","3297372"
"297","1617385","3297373"
"1222","7218117","3297374"
"187","808341","3297375"
"288","1835886","3297376"
"97","365278","3297377"
"169","860625","3297378"
"1270","8658419","3297379"
"245","1276372","3297380"
"338","2176843","3297381"
"608","3377577","3297382"
"315","1681899","3297383"
"403","2336476","3297384"
"40","139076","3297385"
"81","347107","3297386"
"333","1738882","3297387"
"2119","14435032","3297388"
"306","1748697","3297389"
"370","2491520","3297390"
"169","827717","3297391"
"24","101828","3297392"
"46","150939","3297393"
"1521","12847443","3297394"
"2297","14621783","3297395"
"1645","8864915","3297396"
"3308","23519845","3297397"
"2585","13049510","3297398"
"768","3922262","3297399"
"4094","28048296","3297400"
"4194","30298058","3297401"
"295","1446878","3297402"
"1372","7785731","3297403"
"3221","16045544","3297404"
"1924","12181669","3297405"
"221","1127731","3297406"
"2622","13094650","3297407"
"264","1475100","3297408"
"193","929545","3297409"
"306","1748697","3297410"
"370","2491520","3297411"
"4194","30298058","3297412"
"2417","18060906","3297413"
"2454","12512492","3297414"
"334","1806911","3297415"
"1319","7583395","3297416"
"558","3597595","3297417"
"16726","141821618","3297418"
"4094","28048296","3297419"
"480","4076689","3297420"
"1444","12468845","3297421"
"1707","13528910","3297422"
"965","7419769","3297423"
