"latitude","longitude","ID"
"2.2254404","48.9210491","370"
"2.315105","48.9380642","371"
"2.373248","48.9211246","372"
"2.4636704","48.9055911","373"
"2.4739732","48.8819017","374"
"2.4448098","48.8186289","375"
"2.4584779","48.8172463","376"
"2.4643937","48.8199597","377"
"2.4674482","48.8201662","378"
"2.467305","48.8206583","379"
"2.4669239","48.8219435","380"
"2.470988","48.83119","381"
"2.4868272","48.8332195","382"
"2.4893793","48.8333604","383"
"2.492359","48.8338428","384"
"2.4925261","48.8334978","385"
"2.4925043","48.8330354","386"
"2.4927758","48.8319567","387"
"2.4952912","48.8324394","388"
"2.5067374","48.8304632","389"
"2.5094093","48.8300727","390"
"2.5201578","48.8574854","391"
"2.4457452","48.8186242","392"
"2.4586695","48.8097013","393"
"2.4679432","48.8032336","394"
"2.4665074","48.8001895","395"
"2.4659138","48.7991","396"
"2.4791681","48.7864121","397"
"2.4944109","48.7847235","398"
"2.5119126","48.8167435","399"
"2.5117545","48.817442","400"
"2.5103052","48.8235451","401"
"2.519862","48.8331323","402"
"2.5193652","48.83359","403"
"2.5051994","48.8418109","404"
"2.5078903","48.8270609","405"
"2.5220073","48.8273875","406"
"2.6406951","48.9742999","407"
"2.6349032","48.9991699","408"
"2.4257459","48.9308009","409"
"2.353014","48.9059163","410"
"2.3568387","48.8920359","411"
"2.4314026","49.0031172","412"
"2.4584485","49.0208289","413"
"2.3688353","48.8297902","414"
"2.3868413","48.8409172","415"
"2.3954763","48.8396978","416"
"2.3959491","48.8346802","417"
"2.3989427","48.8332681","418"
"2.4021719","48.8371542","419"
"2.3996071","48.8358115","420"
"2.3931833","48.8385607","421"
"2.3978772","48.8354094","422"
"2.4020463","48.8451089","423"
"2.4025155","48.8450597","424"
"2.4019578","48.8449876","425"
"2.3692158","48.829744","426"
"2.3681146","48.8305099","427"
"2.3831228","48.8295644","428"
"2.3800475","48.8271874","429"
"2.3894028","48.8224905","430"
"2.3805153","48.8301386","431"
"2.3753374","48.829804","432"
"2.3435923","48.8412715","433"
"2.3373626","48.8666409","434"
"2.4021238","48.8591448","435"
"2.3144522","48.8736819","436"
"2.3681904","48.8310663","437"
"2.3670683","48.8347464","438"
"2.3625206","48.840958","439"
"2.3728913","48.8372125","440"
"2.3694487","48.8352646","441"
"2.3690123","48.8351188","442"
"2.3615301","48.8356958","443"
"2.3707181","48.839067","444"
"2.3638149","48.8422297","445"
"2.369658","48.8332783","446"
"2.2101187","48.9058397","447"
"2.2201702","48.9150606","448"
"2.3043756","48.9460072","449"
"2.3080277","48.9504957","450"
"2.3405317","48.9368406","451"
"2.3405915","48.9366913","452"
"2.2918841","48.9367109","453"
"2.2779771","48.933924","454"
"2.2909066","48.9415678","455"
"2.3129333","48.9099334","456"
"2.3159999","48.9008107","457"
"2.2500352","48.932796","458"
